,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_total_country_area_cultivated,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,gdp_per_capita,industrial_water_withdrawal,municipal_water_withdrawal,population_density,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,total_agricultural_water_managed_area,total_internal_renewable_water_resources_per_capita,total_population,total_population_with_access_to_safe_drinking_water,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,%_of_agricultural_water_managed_area_equipped_for_irrigation,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,national_rainfall_index,ratio_between_rainfed_and_irrigated_yields,water_stress,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_renewable_groundwater,water_resources_total_external_renewable
0,Afghanistan,2021,50.76083785428776,12.477460318785063,98.13099677893267,34.5020698920481,8146.034683274345,50.41017797477045,673.8879039389119,0.17314736671317507,0.20777684005832905,61.037131618790674,28680.098381502663,21.154385414790355,0.1572297978774409,58.131307668661876,0.9159827337119507,3208.0132717373835,1183.0960136936453,39848.701748273816,62.637578581220176,1639.2717407132432,20.38092420676114,511.50133724945647,10249.59533781467,100.0,20.0,30.6138068269,28.7226001512,0.0,0.0,185.0,2.119,54.7570194384,10.0,42.22,65286.0,2.009,47.15,10.65,18.18
1,Afghanistan,2022,80.22593859083966,12.429796405734194,98.13377903651177,33.59740717255329,8114.9167387524285,49.253836057245984,802.2149128096623,0.17289141317134002,0.20746969580916017,62.45649416990496,29198.8214562433,17.070900065756646,0.17901273927563227,35.297660284433185,0.6734184830837378,3208.039551786141,1155.9573768529451,40775.34678331248,59.07326591707534,1601.6690441056198,20.38036110896656,499.735368684873,10606.12929882504,100.0,20.0,30.6138068269,28.7226001512,0.0,0.0,185.0,2.119,54.7570194384,10.0,42.22,65286.0,2.009,47.15,10.65,18.18
2,Afghanistan,2023,88.24329498736691,12.633914707841896,98.08582241969036,44.49624914837352,8248.177205053194,48.02954868052803,1012.2479120412006,0.1774258642192,0.21291103706877165,63.9610356427204,29749.90677120208,30.1128732913444,0.22351282151999136,41.09543089449689,0.8872702135483775,3208.096560583197,1127.2241016689277,41757.601728800764,66.42206812509541,1561.8568517802164,20.390336901254027,487.68179020255224,10975.415750510021,100.0,20.0,30.6138068269,28.7226001512,0.0,0.0,185.0,2.119,54.7570194384,10.0,42.22,65286.0,2.009,47.15,10.65,18.18
3,Afghanistan,2024,141.86349151327298,11.822922788989743,98.05555179827844,78.39614929320862,7718.712706017723,46.67576348517368,1729.8009377808319,0.18029920873835512,0.2163590504960009,65.63232115915916,30339.73809915155,15.096857155188006,0.4428959225053711,10.83647212436189,0.6736872846362174,3208.1970178987513,1095.4515919818666,42848.717190763,72.9615276752411,1517.833563166364,20.39665825918602,474.1591938184487,11390.58790780149,100.0,20.0,30.6138068269,28.7226001512,0.0,0.0,185.0,2.119,54.7570194384,10.0,42.22,65286.0,2.009,47.15,10.65,18.18
4,Afghanistan,2025,187.85475591545358,12.968047762853487,98.03874112708688,38.89813518996891,8466.31852344075,45.304076879529084,1881.5768571879287,0.18190784609245755,0.21828941532281254,67.34688085921525,30943.483763157437,44.79063361052842,0.28755280746205997,4.128697575472316,0.6933070197800375,3208.3505902723537,1063.2589471482536,43968.08463575146,74.26689221250173,1473.2281445318317,20.400197261337933,460.34639909899323,11809.592563792141,100.0,20.0,30.6138068269,28.7226001512,0.0,0.0,185.0,2.119,54.7570194384,10.0,42.22,65286.0,2.009,47.15,10.65,18.18
5,Belgium,2021,2.170268312352702,29.626823000918183,1.1313811720297682,0.4167776564158898,904.5069065542779,12.303687325669806,42118.99685360007,2.7287600118496975,0.7527741920742104,382.101496356878,216.8719670813948,24.59638447358563,-51.22750376359484,509.55457233874006,50.71362324642247,26.008984204351314,1023.1756611834182,11665.558683774774,100.0,1560.3428833046783,3.506655134329269,283.9359767825838,11456.839156513663,100.0,0.06045491763158786,0.33035474125706793,34.4262295082,0.0,0.0,1070.0,1.778,43.86905326475884,6.3,11.0,3053.0,0.1443,12.0,0.9,6.3
6,Belgium,2022,2.353089592913218,30.87893885995869,1.1440246794592035,0.4253183196784156,942.734003441097,12.195879311520276,42177.46736929932,2.7918180949333595,0.7526237727787833,385.07799917938195,214.12647251994753,24.872729236621915,-147.3489205679727,516.3051540322508,-42.022032683167126,27.6822359159246,1014.2103377541619,11756.431314945743,100.0,1546.6707650751052,3.5743780392569366,287.84340964725317,11551.52215054008,100.0,0.06172294143226392,0.33728383296555353,34.4262295082,0.0,0.0,1070.0,1.778,44.95233943988057,6.3,11.0,3053.0,0.1443,12.0,0.9,6.3
7,Belgium,2023,2.5576953114127132,31.729758275887455,1.1815778561078423,0.36153880266562544,968.7095201963504,12.093091794652905,37584.569936701046,2.5731839171068853,0.7472259251078728,387.9199856790074,211.18027740527074,26.09750335302668,-50.307082161775455,527.7156772012528,38.74253476146352,30.000295815752246,1005.6625193064009,11843.197162779372,100.0,1533.635341942303,3.3564508241827653,264.3582828093428,11641.806378363188,100.0,0.06355259482286552,0.3472819389469981,34.4262295082,0.0,0.0,1070.0,1.778,42.20580806577528,6.3,11.0,3053.0,0.1443,12.0,0.9,6.3
8,Belgium,2024,2.618135851317694,32.62660461981383,1.2966902133334322,0.3065931065764409,996.0902390704478,11.997743562804802,33137.216761183554,2.3619056124823214,0.7400648806797356,390.6236963350917,208.1958110993651,26.692403401145285,-123.43359006655437,534.3697990409291,-38.98330298646441,28.949822912612113,997.7333524130127,11925.741449109884,100.0,1521.543362429893,3.1458798342764407,242.21233552605742,11728.577330236027,100.0,0.07009310307000197,0.38302242111398477,34.4262295082,0.0,0.0,1070.0,1.778,39.88599108636061,6.3,11.0,3053.0,0.1443,12.0,0.9,6.3
9,Belgium,2025,2.669773348514294,33.68183179303565,1.3591770250430106,0.42915439741987393,1028.3063246973695,11.907922425786188,31466.250812184582,2.1388943615005886,0.7317783768933699,393.1872056152077,205.06116074063019,27.48989234372503,-199.41848740335848,541.0106174556197,-121.0068423186235,27.875980488267622,990.2638191923764,12004.005387432144,100.0,1510.152324268304,2.9260380364766743,219.3748764368766,11811.201548371475,100.0,0.07349057848306924,0.4015878605203881,34.4262295082,0.0,0.0,1070.0,1.778,37.06091037779647,6.3,11.0,3053.0,0.1443,12.0,0.9,6.3
