,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,gdp_per_capita,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,water_stress,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_population_with_access_to_safe_drinking_water,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
20,Afghanistan,2021,44.31008409894409,100.0,12.411893107808737,20.0,30.6138068269,98.16962672940835,27.224018831671966,8103.34962501444,50.23108272242459,28.7226001512,516.457004673287,0.0,0.0,0.1695000547519888,0.20340006570238653,185.0,61.033973068306445,2.119,28738.759727853503,12.885999434824505,0.11750317494240603,56.64553696740299,0.8120738320540477,54.7570194384,10.0,42.22,3208.000002780041,65286.0,2.009,47.15,1178.8911790012692,39846.88878260697,55.30221079667729,10.65,1633.4456210558726,20.37290012045438,509.3431511382623,10210.48433146648,18.18
21,Afghanistan,2022,44.29138774644409,100.0,12.4328756082622,20.0,30.6138068269,98.16962615981672,28.35656853534027,8117.115027516827,48.85762856663841,28.7226001512,524.4602875687333,0.0,0.0,0.1695001088980137,0.20340013067761642,185.0,62.440543629933686,2.119,29326.532245654096,13.09781504565405,0.12000108416106232,55.75637350101209,0.8151216416577275,54.7570194384,10.0,42.22,3208.0000032702783,65286.0,2.009,47.15,1146.6554300005225,40765.25909901678,55.30424488244129,10.65,1588.7804861834497,20.372900239575632,495.3775850884856,10516.63166324383,18.18
22,Afghanistan,2023,44.272691393944086,100.0,12.453858108715664,20.0,30.6138068269,98.16962559022508,29.48911823900857,8130.880430019214,47.484174410852226,28.7226001512,532.4635704641796,0.0,0.0,0.16950016304403862,0.2034001956528463,185.0,63.84711419156093,2.119,29914.304763454693,13.309630656483593,0.1224989933797186,54.867210034621195,0.8181694512614074,54.7570194384,10.0,42.22,3208.000003760515,65286.0,2.009,47.15,1114.4196809997757,41683.6294154266,55.3062789682053,10.65,1544.1153513110266,20.37290035869689,481.41201903870893,10822.778995021183,18.18
23,Afghanistan,2024,44.253995041444085,100.0,12.474840609169128,20.0,30.6138068269,98.16962502063345,30.621667942676872,8144.645832521601,46.11072025506604,28.7226001512,540.4668533596259,0.0,0.0,0.16950021719006353,0.2034002606280762,185.0,65.25368475318817,2.119,30502.077281255286,13.521446267313138,0.12499690259837488,53.978046568230305,0.8212172608650872,54.7570194384,10.0,42.22,3208.0000042507518,65286.0,2.009,47.15,1082.1839319990288,42601.99973183641,55.3083130539693,10.65,1499.4502164386038,20.372900477818146,467.44645298893226,11128.926326798533,18.18
24,Afghanistan,2025,44.235298688944084,100.0,12.495823109622592,20.0,30.6138068269,98.16962445104181,31.75421764634517,8158.411235023988,44.737266099279864,28.7226001512,548.4701362550722,0.0,0.0,0.16950027133608844,0.2034003256033061,185.0,66.6602553148154,2.119,31089.84979905588,13.733261878142683,0.12749481181703118,53.088883101839414,0.824265070468767,54.7570194384,10.0,42.22,3208.000004740989,65286.0,2.009,47.15,1049.948182998282,43520.37004824623,55.31034713973331,10.65,1454.785081566181,20.372900596939402,453.4808869391556,11435.073658575886,18.18
20,Belgium,2021,2.0760886919,100.0,29.32728365166786,0.05535280208857608,0.3024743284005754,1.3288871458485676,0.6327087843313242,895.3639045601254,12.39263431082861,34.4262295082,45753.979469702965,0.0,0.0,3.4706882140938298,0.7396420936526068,1070.0,381.3583876440778,1.778,219.84910050564986,23.81276207246178,0.84970229089054,463.168318485788,100.12595010535713,51.81605608513089,6.3,11.0,24.12576828122904,3053.0,0.1443,12.0,1030.5586001875558,11642.873446120771,100.0,0.9,1571.6017114733945,4.2586910496352575,365.59820027678956,11461.071723107394,6.3
21,Belgium,2022,2.0760886919,100.0,29.5573488241977,0.05635251862927577,0.3079372603426036,1.3745789409485676,0.6312219633194405,902.3893143646121,12.334788186714622,34.4262295082,46468.129559143184,0.0,0.0,3.4699536662037196,0.7402103057969273,1070.0,383.09223699447483,1.778,216.5022151228392,24.548898286199883,0.5621766592233284,466.0271029784242,102.7603174353225,51.97249659226672,6.3,11.0,24.141536561707067,3053.0,0.1443,12.0,1025.726380026403,11695.810066107697,100.0,0.9,1564.2324282940729,4.254058219415653,363.35098061934855,11525.368446077488,6.3
22,Belgium,2023,2.0760886919,100.0,29.78741399672754,0.057352235169975466,0.3134001922846318,1.4202707360485676,0.6297351423075568,909.4147241690987,12.276942062600632,34.4262295082,47182.279648583404,0.0,0.0,3.46921911831361,0.7407785179412478,1070.0,384.82608634487184,1.778,213.15532974002858,25.285034499937986,0.2746510275561168,468.88588747106036,105.39468476528786,52.128937099402556,6.3,11.0,24.1573048421851,3053.0,0.1443,12.0,1020.8941598652498,11748.746686094624,100.0,0.9,1556.8631451147514,4.24942538919605,361.10376096190754,11589.665169047581,6.3
23,Belgium,2024,2.0760886919,100.0,30.01747916925738,0.05835195171067516,0.3188631242266599,1.4659625311485676,0.6282483212956731,916.4401339735854,12.219095938486644,34.4262295082,47896.429738023624,0.0,0.0,3.4684845704234997,0.7413467300855684,1070.0,386.55993569526885,1.778,209.80844435721795,26.021170713676085,-0.012874604111094756,471.74467196369653,108.02905209525323,52.28537760653839,6.3,11.0,24.173073122663126,3053.0,0.1443,12.0,1016.0619397040966,11801.68330608155,100.0,0.9,1549.49386193543,4.244792558976447,358.85654130446653,11653.961892017676,6.3
24,Belgium,2025,2.0760886919,100.0,30.247544341787222,0.05935166825137485,0.3243260561686881,1.5116543262485675,0.6267615002837894,923.4655437780721,12.161249814372654,34.4262295082,48610.579827463844,0.0,0.0,3.4677500225333895,0.7419149422298889,1070.0,388.29378504566586,1.778,206.4615589744073,26.757306927414188,-0.3004002357783062,474.6034564563327,110.6634194252186,52.44181811367422,6.3,11.0,24.188841403141158,3053.0,0.1443,12.0,1011.2297195429436,11854.619926068475,100.0,0.9,1542.1245787561083,4.240159728756843,356.6093216470255,11718.25861498777,6.3
