,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
20,Afghanistan,2021,516.457004673287,54.7570194384,55.30221079667729
21,Afghanistan,2022,524.4602875687333,54.7570194384,55.30424488244129
22,Afghanistan,2023,532.4635704641796,54.7570194384,55.3062789682053
23,Afghanistan,2024,540.4668533596259,54.7570194384,55.3083130539693
24,Afghanistan,2025,548.4701362550722,54.7570194384,55.31034713973331
20,Belgium,2021,45753.979469702965,51.81605608513089,100.0
21,Belgium,2022,46468.129559143184,51.97249659226672,100.0
22,Belgium,2023,47182.279648583404,52.128937099402556,100.0
23,Belgium,2024,47896.429738023624,52.28537760653839,100.0
24,Belgium,2025,48610.579827463844,52.44181811367422,100.0
20,Mauritius,2021,8771.586273226387,21.832789568604856,99.89583311883365
21,Mauritius,2022,8942.985901998727,21.79278929236908,99.89376447674614
22,Mauritius,2023,9114.38553077107,21.7527890161333,99.89169583465862
23,Mauritius,2024,9285.785159543411,21.712788739897523,99.8896271925711
24,Mauritius,2025,9457.184788315752,21.672788463661746,99.88755855048358
20,Mauritania,2021,1730.4462794790409,13.246204487580737,57.900674913506805
21,Mauritania,2022,1758.0379975680366,13.246191643661845,57.90127591001859
22,Mauritania,2023,1785.6297156570322,13.246178799742955,57.90187690653037
23,Mauritania,2024,1813.221433746028,13.246165955824063,57.90247790304215
24,Mauritania,2025,1840.8131518350235,13.246153111905173,57.90307889955393
20,United Kingdom of Great Britain and Northern Ireland,2021,40876.40706558481,14.356162325143632,100.0
21,United Kingdom of Great Britain and Northern Ireland,2022,41022.90579307959,14.35767844396429,100.0
22,United Kingdom of Great Britain and Northern Ireland,2023,41169.40452057437,14.359194562784944,100.0
23,United Kingdom of Great Britain and Northern Ireland,2024,41315.903248069146,14.3607106816056,100.0
24,United Kingdom of Great Britain and Northern Ireland,2025,41462.40197556393,14.362226800426257,100.0
20,Malta,2021,34682.60733898077,83.79501184886168,100.0
21,Malta,2022,35580.23445940944,84.23297241020897,100.0
22,Malta,2023,36477.8615798381,84.67093297155628,100.0
23,Malta,2024,37375.48870026677,85.10889353290358,100.0
24,Malta,2025,38273.11582069543,85.54685409425089,100.0
20,Mali,2021,894.561043085934,8.003086518353346,77.01468444778307
21,Mali,2022,921.9621447035717,8.00308661568486,77.02936889498092
22,Mali,2023,949.3632463212092,8.003086713016373,77.04405334217877
23,Mali,2024,976.7643479388469,8.003086810347886,77.05873778937662
24,Mali,2025,1004.1654495564844,8.0030869076794,77.07342223657449
20,Belize,2021,3818.049065859337,1.2602944847,99.50001334049979
21,Belize,2022,3344.5179173026,1.2602944847,99.500025044645
22,Belize,2023,2870.9867687458627,1.2602944847,99.50003674879022
23,Belize,2024,2397.4556201891255,1.2602944847,99.50004845293543
24,Belize,2025,1923.9244716323878,1.2602944847,99.50006015708065
20,Malaysia,2021,10660.565711882131,3.459514170298425,98.19803225500047
21,Malaysia,2022,10913.00761118597,3.479541160798425,98.19779545230193
22,Malaysia,2023,11165.449510489812,3.499568151298425,98.1975586496034
23,Malaysia,2024,11417.891409793652,3.519595141798425,98.19732184690486
24,Malaysia,2025,11670.333309097492,3.5396221322984247,98.19708504420632
20,Malawi,2021,642.9081957026945,17.504840934094656,90.21202240072967
21,Malawi,2022,670.0208347026945,17.504844437965453,90.22404480097019
22,Malawi,2023,697.1334737026946,17.504847941836246,90.2360672012107
23,Malawi,2024,724.2461127026945,17.504851445707043,90.24808960145121
24,Malawi,2025,751.3587517026945,17.504854949577837,90.26011200169172
20,Madagascar,2021,471.7470245623839,11.261506374428388,51.499263783744034
21,Madagascar,2022,470.73777526139884,11.26150647156964,51.49861585771906
22,Madagascar,2023,469.72852596041383,11.26150656871089,51.49796793169408
23,Madagascar,2024,468.7192766594288,11.26150666585214,51.497320005669096
24,Madagascar,2025,467.71002735844377,11.261506762993392,51.496672079644114
20,Luxembourg,2021,121690.48893922662,4.190141345278697,100.0
21,Luxembourg,2022,126192.4960715313,4.259084017921117,100.0
22,Luxembourg,2023,130694.50320383601,4.3280266905635365,100.0
23,Luxembourg,2024,135196.5103361407,4.396969363205957,100.0
24,Luxembourg,2025,139698.51746844538,4.465912035848377,100.0
20,Benin,2021,1294.1744190784505,0.975243811,77.90179805288594
