,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
56,Afghanistan,2020,44.3994682866,100.0,12.397757559,20.0,30.6138068269,98.169627299,27.013561,8094.0,51.6076383004,28.7226001512,0.0,0.0,0.1695,0.2034,185.0,59.6274025059,2.119,28150.604,12.6741837817,0.1206167878,57.2129038537,0.7950618002,10.0,42.22,3208.0,65286.0,2.009,47.15,1211.1996743966,38928.346,10.65,1678.211553093,20.3729,523.3435810502,9904.337,18.18
113,Albania,2020,39.0273906683,100.0,24.794626758,0.545,1.8046357616,69.3384223919,19.176873,687.555,1400.3767465183,10.9271523179,0.0,0.0,0.016,0.225,1136.0,103.7791922106,1.778,1114.672,134.4329422883,1.7222657037,28.5290434844,12.097451233,3.3,11.5,359.5,2773.0,4.03,26.9,9347.4279110028,2877.797,6.2,10494.1383982261,0.786,273.125588775,1827.362,3.3
170,Algeria,2020,27.9701944442,100.0,3.5759627096,6.671,57.1783663324,63.7640986427,14.053996,8517.017,196.5574639454,3.5998971458,0.03,0.03,0.191,3.6,241.5,18.4113402759,2.207368807,11382.345,272.1065704914,0.9919010599,23.8674000625,13.8130345211,0.39,0.32,1365.0,238174.1,8.61925,11.247,256.4819209321,43851.044,1.517,266.0598000814,10.462,238.5804087127,31950.91,0.42
227,Angola,2020,0.4665351629,21.0909180579,4.1830432341,0.1467,0.0988544474,20.7849249079,9.429773,5215.0,287.383065533,0.269541779,0.0,0.0,0.2396,0.3195,1137.0,26.3626149033,1.456,10890.448,195.1457320723,0.3167546022,138.4814009775,128.9999899645,0.4,122.8,405.53,124670.0,9.44521,148.0,4503.0966700452,32866.272,58.0,4515.2672015859,0.7058,21.4749029035,21936.953,0.4
284,Argentina,2020,6.6377397881,100.0,12.1208314271,27.93,3.1874828814,73.928004235,6.83608,33700.7597,2910.9771413584,66.6757965854,0.0,0.0,4.0,5.85,1062.0,16.2551337937,1.69,3590.542,28.1760874441,0.0906652357,54.0045029755,11.4124661783,516.3,48.0,1095.8161,278040.0,131.563865,292.0,6460.7810455907,45195.774,128.0,19387.6533677684,37.78,835.9188626795,41919.857,584.24
313,Armenia,2020,25.8541697985,100.0,16.9468728985,1.99,25.6146222165,70.3428773418,11.213424,504.0,468.037889569,11.7132192045,0.0,0.0,0.186,0.653,352.1,99.6382985878,1.778,1078.125,14.8295743366,0.1736410504,10.4165463725,3.5015381047,0.0,5.28,155.39,2974.0,1.38691,6.859,2314.6937325086,2963.243,4.311,2621.7897081002,2.829,954.6972691743,1860.554,0.91
370,Australia,2020,10.0737606531,100.0,4.0040200382,8.56616125,1.741089685,62.3228324856,2.26607,30996.0,3050.4570138437,0.0,0.0,0.0,2.892114554,2.286544371,717.1,3.2940394408,2.171,3494.472,109.2757159438,0.3618168493,403.0017861475,90.260819729,0.0,0.0,1520.9,774122.0,77.7863,492.0,19294.2054167776,25499.884,72.0,19294.2054167776,13.74482017,539.0150076761,21903.705,0.0
427,Austria,2020,4.7131053691,100.0,16.5470499171,0.0771,0.0992277992,2.2078405544,1.099909,1387.95,236.2431684676,29.2149292149,0.0,0.0,2.695,0.72,1126.0,107.3736930579,1.778,3622.85,32.7437739812,2.5977669831,352.8930306125,98.0864639486,22.7,77.7,99.76,8387.9,2.1277,55.0,6106.7698762591,9006.398,6.0,8627.2003524606,3.4921,387.7354742706,5159.36,22.7
456,Azerbaijan,2020,73.9966841109,100.0,27.2170900693,11.614,33.4938716655,92.3284839812,6.925787,2357.0,2124.6694874742,76.5969718818,0.0,0.0,0.567,0.398,459.7,117.0805658199,1.778,4403.813,36.298956465,0.2263224657,56.4158797013,3.6301405162,19.76,,1450.2,8660.0,21.5424,8.115,800.36081824,10139.177,6.51,3419.9028185424,12.579,1240.6332387727,5695.93,26.56
513,Bahrain,2020,93.0395097348,100.0,5.8598726115,0.1447,124.7413793103,33.3103130755,0.287459,4.6,0.0,96.5517241379,0.112,0.112,0.0141,0.2756,,2167.6114649682,1.778,178.17,954.7769804531,0.6083545664,68.6171931782,74.7267098758,0.0,0.0,3.73,78.5,0.0,0.004,2.3507632634,1701.575,0.112,68.17213464,0.4344,255.2928904104,1519.595,0.112
